reference_image_id,testing_image_id,reference_image_label,testing_image_label
5859,6086,church,storagetanks
709,6087,square,storagetanks
105,6088,storagetanks,storagetanks
3114,6089,beach,storagetanks
99,6090,storagetanks,storagetanks
56,6091,storagetanks,storagetanks
36,6092,storagetanks,storagetanks
96,6093,storagetanks,storagetanks
33,6094,storagetanks,storagetanks
123,6095,storagetanks,storagetanks
61,6096,storagetanks,storagetanks
116,6097,storagetanks,storagetanks
70,6098,storagetanks,storagetanks
5475,6099,airport,storagetanks
135,6100,storagetanks,storagetanks
93,6101,storagetanks,storagetanks
5321,6102,viaduct,storagetanks
173,6103,storagetanks,storagetanks
76,6104,storagetanks,storagetanks
1117,6105,resort,storagetanks
133,6106,storagetanks,storagetanks
106,6107,storagetanks,storagetanks
5175,6108,industrial,storagetanks
4011,6109,parking,storagetanks
5724,6110,railwaystation,storagetanks
44,6111,storagetanks,storagetanks
199,6112,storagetanks,storagetanks
164,6113,storagetanks,storagetanks
103,6114,storagetanks,storagetanks
120,6115,storagetanks,storagetanks
130,6116,storagetanks,storagetanks
88,6117,storagetanks,storagetanks
105,6118,storagetanks,storagetanks
155,6119,storagetanks,storagetanks
173,6120,storagetanks,storagetanks
33,6121,storagetanks,storagetanks
3364,6122,denseresidential,storagetanks
28,6123,storagetanks,storagetanks
5428,6124,airport,storagetanks
20,6125,storagetanks,storagetanks
155,6126,storagetanks,storagetanks
73,6127,storagetanks,storagetanks
3915,6128,stadium,storagetanks
182,6129,storagetanks,storagetanks
70,6130,storagetanks,storagetanks
5305,6131,viaduct,storagetanks
3277,6132,denseresidential,storagetanks
44,6133,storagetanks,storagetanks
137,6134,storagetanks,storagetanks
155,6135,storagetanks,storagetanks
349,6136,commercial,storagetanks
164,6137,storagetanks,storagetanks
3277,6138,denseresidential,storagetanks
185,6139,storagetanks,storagetanks
44,6140,storagetanks,storagetanks
1975,6141,bridge,storagetanks
4723,6142,mediumresidential,storagetanks
177,6143,storagetanks,storagetanks
338,6144,commercial,storagetanks
130,6145,storagetanks,storagetanks
95,6146,storagetanks,storagetanks
4087,6147,parking,storagetanks
33,6148,storagetanks,storagetanks
172,6149,storagetanks,storagetanks
180,6150,storagetanks,storagetanks
152,6151,storagetanks,storagetanks
180,6152,storagetanks,storagetanks
74,6153,storagetanks,storagetanks
199,6154,storagetanks,storagetanks
133,6155,storagetanks,storagetanks
136,6156,storagetanks,storagetanks
101,6157,storagetanks,storagetanks
5961,6158,church,storagetanks
135,6159,storagetanks,storagetanks
4053,6160,parking,storagetanks
386,6161,commercial,commercial
5571,6162,airport,commercial
370,6163,commercial,commercial
5025,6164,industrial,commercial
268,6165,commercial,commercial
393,6166,commercial,commercial
238,6167,commercial,commercial
221,6168,commercial,commercial
262,6169,commercial,commercial
5697,6170,railwaystation,commercial
347,6171,commercial,commercial
321,6172,commercial,commercial
371,6173,commercial,commercial
5888,6174,church,commercial
3468,6175,school,commercial
3503,6176,school,commercial
771,6177,square,commercial
252,6178,commercial,commercial
399,6179,commercial,commercial
4113,6180,parking,commercial
207,6181,commercial,commercial
221,6182,commercial,commercial
235,6183,commercial,commercial
284,6184,commercial,commercial
248,6185,commercial,commercial
5636,6186,railwaystation,commercial
227,6187,commercial,commercial
103,6188,storagetanks,commercial
296,6189,commercial,commercial
346,6190,commercial,commercial
339,6191,commercial,commercial
3231,6192,denseresidential,commercial
252,6193,commercial,commercial
289,6194,commercial,commercial
348,6195,commercial,commercial
125,6196,storagetanks,commercial
3264,6197,denseresidential,commercial
245,6198,commercial,commercial
279,6199,commercial,commercial
5917,6200,church,commercial
234,6201,commercial,commercial
246,6202,commercial,commercial
5033,6203,industrial,commercial
217,6204,commercial,commercial
1032,6205,resort,commercial
385,6206,commercial,commercial
259,6207,commercial,commercial
3351,6208,denseresidential,commercial
268,6209,commercial,commercial
221,6210,commercial,commercial
326,6211,commercial,commercial
350,6212,commercial,commercial
5115,6213,industrial,commercial
299,6214,commercial,commercial
5660,6215,railwaystation,commercial
224,6216,commercial,commercial
371,6217,commercial,commercial
326,6218,commercial,commercial
228,6219,commercial,commercial
323,6220,commercial,commercial
5795,6221,railwaystation,commercial
868,6222,bareland,commercial
338,6223,commercial,commercial
325,6224,commercial,commercial
5115,6225,industrial,commercial
4866,6226,park,commercial
393,6227,commercial,commercial
385,6228,commercial,commercial
326,6229,commercial,commercial
331,6230,commercial,commercial
202,6231,commercial,commercial
263,6232,commercial,commercial
333,6233,commercial,commercial
268,6234,commercial,commercial
321,6235,commercial,commercial
263,6236,commercial,commercial
217,6237,commercial,commercial
254,6238,commercial,commercial
309,6239,commercial,commercial
279,6240,commercial,commercial
236,6241,commercial,commercial
340,6242,commercial,commercial
392,6243,commercial,commercial
3408,6244,school,commercial
342,6245,commercial,commercial
236,6246,commercial,commercial
3335,6247,denseresidential,commercial
4878,6248,park,commercial
384,6249,commercial,commercial
341,6250,commercial,commercial
385,6251,commercial,commercial
289,6252,commercial,commercial
284,6253,commercial,commercial
323,6254,commercial,commercial
309,6255,commercial,commercial
385,6256,commercial,commercial
312,6257,commercial,commercial
350,6258,commercial,commercial
228,6259,commercial,commercial
208,6260,commercial,commercial
339,6261,commercial,commercial
394,6262,commercial,commercial
222,6263,commercial,commercial
221,6264,commercial,commercial
338,6265,commercial,commercial
332,6266,commercial,commercial
5660,6267,railwaystation,commercial
257,6268,commercial,commercial
206,6269,commercial,commercial
221,6270,commercial,commercial
381,6271,commercial,commercial
255,6272,commercial,commercial
217,6273,commercial,commercial
5661,6274,railwaystation,commercial
355,6275,commercial,commercial
385,6276,commercial,commercial
370,6277,commercial,commercial
308,6278,commercial,commercial
325,6279,commercial,commercial
289,6280,commercial,commercial
258,6281,commercial,commercial
4961,6282,park,commercial
250,6283,commercial,commercial
295,6284,commercial,commercial
396,6285,commercial,commercial
323,6286,commercial,commercial
3264,6287,denseresidential,commercial
350,6288,commercial,commercial
248,6289,commercial,commercial
3473,6290,school,commercial
251,6291,commercial,commercial
226,6292,commercial,commercial
202,6293,commercial,commercial
257,6294,commercial,commercial
322,6295,commercial,commercial
5319,6296,viaduct,commercial
5236,6297,viaduct,commercial
3397,6298,denseresidential,commercial
340,6299,commercial,commercial
398,6300,commercial,commercial
4885,6301,park,commercial
312,6302,commercial,commercial
245,6303,commercial,commercial
323,6304,commercial,commercial
396,6305,commercial,commercial
211,6306,commercial,commercial
350,6307,commercial,commercial
3264,6308,denseresidential,commercial
350,6309,commercial,commercial
283,6310,commercial,commercial
4560,6311,river,pond
1866,6312,bridge,pond
5213,6313,viaduct,pond
651,6314,square,pond
747,6315,square,pond
531,6316,pond,pond
1803,6317,bridge,pond
1248,6318,sparseresidential,pond
5220,6319,viaduct,pond
565,6320,pond,pond
423,6321,pond,pond
2094,6322,meadow,pond
1369,6323,sparseresidential,pond
2040,6324,meadow,pond
4860,6325,park,pond
1223,6326,sparseresidential,pond
4973,6327,park,pond
2806,6328,port,pond
1437,6329,mountain,pond
581,6330,pond,pond
1292,6331,sparseresidential,pond
728,6332,square,pond
34,6333,storagetanks,pond
600,6334,pond,pond
464,6335,pond,pond
588,6336,pond,pond
5224,6337,viaduct,pond
5353,6338,viaduct,pond
1289,6339,sparseresidential,pond
1248,6340,sparseresidential,pond
5034,6341,industrial,pond
1251,6342,sparseresidential,pond
521,6343,pond,pond
5049,6344,industrial,pond
471,6345,pond,pond
516,6346,pond,pond
4808,6347,park,pond
4594,6348,river,pond
407,6349,pond,pond
1506,6350,mountain,pond
479,6351,pond,pond
3204,6352,denseresidential,pond
457,6353,pond,pond
575,6354,pond,pond
4792,6355,mediumresidential,pond
2814,6356,port,pond
44,6357,storagetanks,pond
2160,6358,meadow,pond
595,6359,pond,pond
1566,6360,mountain,pond
1831,6361,bridge,pond
4857,6362,park,pond
526,6363,pond,pond
1869,6364,bridge,pond
4518,6365,river,pond
580,6366,pond,pond
509,6367,pond,pond
1434,6368,mountain,pond
4661,6369,mediumresidential,pond
441,6370,pond,pond
2107,6371,meadow,pond
594,6372,pond,pond
1437,6373,mountain,pond
2243,6374,baseballfield,pond
555,6375,pond,pond
526,6376,pond,pond
122,6377,storagetanks,pond
2014,6378,meadow,pond
1208,6379,sparseresidential,pond
114,6380,storagetanks,pond
524,6381,pond,pond
565,6382,pond,pond
577,6383,pond,pond
4508,6384,river,pond
506,6385,pond,pond
4701,6386,mediumresidential,pond
884,6387,bareland,pond
2183,6388,meadow,pond
539,6389,pond,pond
1275,6390,sparseresidential,pond
4635,6391,mediumresidential,pond
504,6392,pond,pond
526,6393,pond,pond
590,6394,pond,pond
1994,6395,bridge,pond
3034,6396,beach,pond
107,6397,storagetanks,pond
1677,6398,farmland,pond
443,6399,pond,pond
873,6400,bareland,pond
1376,6401,sparseresidential,pond
1942,6402,bridge,pond
1938,6403,bridge,pond
1857,6404,bridge,pond
457,6405,pond,pond
1348,6406,sparseresidential,pond
3353,6407,denseresidential,pond
493,6408,pond,pond
501,6409,pond,pond
1330,6410,sparseresidential,pond
562,6411,pond,pond
1647,6412,farmland,pond
526,6413,pond,pond
5223,6414,viaduct,pond
2069,6415,meadow,pond
1964,6416,bridge,pond
414,6417,pond,pond
477,6418,pond,pond
475,6419,pond,pond
1472,6420,mountain,pond
38,6421,storagetanks,pond
1924,6422,bridge,pond
493,6423,pond,pond
406,6424,pond,pond
338,6425,commercial,pond
545,6426,pond,pond
1208,6427,sparseresidential,pond
479,6428,pond,pond
1951,6429,bridge,pond
516,6430,pond,pond
415,6431,pond,pond
3719,6432,playground,pond
1640,6433,farmland,pond
471,6434,pond,pond
587,6435,pond,pond
1029,6436,resort,pond
1425,6437,mountain,pond
1248,6438,sparseresidential,pond
1462,6439,mountain,pond
2069,6440,meadow,pond
457,6441,pond,pond
5735,6442,railwaystation,pond
1486,6443,mountain,pond
430,6444,pond,pond
3418,6445,school,pond
2831,6446,port,pond
4713,6447,mediumresidential,pond
3002,6448,beach,pond
2387,6449,baseballfield,pond
1428,6450,mountain,pond
3209,6451,denseresidential,pond
1250,6452,sparseresidential,pond
428,6453,pond,pond
513,6454,pond,pond
5735,6455,railwaystation,pond
2803,6456,port,pond
527,6457,pond,pond
4822,6458,park,pond
2975,6459,port,pond
1806,6460,bridge,pond
542,6461,pond,pond
1168,6462,resort,pond
4772,6463,mediumresidential,pond
1409,6464,mountain,pond
469,6465,pond,pond
728,6466,square,pond
4850,6467,park,pond
3599,6468,school,pond
441,6469,pond,pond
5153,6470,industrial,pond
596,6471,pond,pond
443,6472,pond,pond
4627,6473,mediumresidential,pond
1159,6474,resort,pond
577,6475,pond,pond
431,6476,pond,pond
1286,6477,sparseresidential,pond
1619,6478,farmland,pond
2103,6479,meadow,pond
2016,6480,meadow,pond
521,6481,pond,pond
4483,6482,river,pond
2315,6483,baseballfield,pond
1248,6484,sparseresidential,pond
3758,6485,playground,pond
532,6486,pond,pond
517,6487,pond,pond
4508,6488,river,pond
2364,6489,baseballfield,pond
722,6490,square,pond
2069,6491,meadow,pond
407,6492,pond,pond
1936,6493,bridge,pond
542,6494,pond,pond
1254,6495,sparseresidential,pond
469,6496,pond,pond
1280,6497,sparseresidential,pond
1361,6498,sparseresidential,pond
554,6499,pond,pond
4431,6500,river,pond
5165,6501,industrial,pond
4444,6502,river,pond
4447,6503,river,pond
4670,6504,mediumresidential,pond
4973,6505,park,pond
587,6506,pond,pond
5057,6507,industrial,pond
4345,6508,forest,pond
596,6509,pond,pond
1353,6510,sparseresidential,pond
1752,6511,farmland,pond
2807,6512,port,pond
517,6513,pond,pond
408,6514,pond,pond
1251,6515,sparseresidential,pond
4909,6516,park,pond
1267,6517,sparseresidential,pond
2192,6518,meadow,pond
2814,6519,port,pond
4354,6520,forest,pond
4595,6521,river,pond
997,6522,bareland,pond
2246,6523,baseballfield,pond
516,6524,pond,pond
443,6525,pond,pond
600,6526,pond,pond
4504,6527,river,pond
4929,6528,park,pond
1369,6529,sparseresidential,pond
2732,6530,center,pond
5224,6531,viaduct,square
639,6532,square,square
607,6533,square,square
1900,6534,bridge,square
749,6535,square,square
5532,6536,airport,square
5826,6537,church,square
646,6538,square,square
644,6539,square,square
652,6540,square,square
5831,6541,church,square
1128,6542,resort,square
3276,6543,denseresidential,square
4602,6544,mediumresidential,square
643,6545,square,square
780,6546,square,square
652,6547,square,square
659,6548,square,square
4041,6549,parking,square
721,6550,square,square
4657,6551,mediumresidential,square
5014,6552,industrial,square
2797,6553,center,square
667,6554,square,square
620,6555,square,square
3228,6556,denseresidential,square
4881,6557,park,square
629,6558,square,square
3219,6559,denseresidential,square
741,6560,square,square
3310,6561,denseresidential,square
5033,6562,industrial,square
716,6563,square,square
743,6564,square,square
609,6565,square,square
642,6566,square,square
5801,6567,church,square
4974,6568,park,square
786,6569,square,square
719,6570,square,square
791,6571,square,square
5655,6572,railwaystation,square
1279,6573,sparseresidential,square
2702,6574,center,square
1257,6575,sparseresidential,square
3235,6576,denseresidential,square
3572,6577,school,square
5278,6578,viaduct,square
625,6579,square,square
1087,6580,resort,square
5620,6581,railwaystation,square
628,6582,square,square
5114,6583,industrial,square
724,6584,square,square
772,6585,square,square
661,6586,square,square
736,6587,square,square
3365,6588,denseresidential,square
5496,6589,airport,square
791,6590,square,square
3857,6591,stadium,square
791,6592,square,square
634,6593,square,square
1001,6594,resort,square
4788,6595,mediumresidential,square
739,6596,square,square
669,6597,square,square
5170,6598,industrial,square
2659,6599,center,square
678,6600,square,square
706,6601,square,square
791,6602,square,square
749,6603,square,square
728,6604,square,square
706,6605,square,square
686,6606,square,square
3261,6607,denseresidential,square
4620,6608,mediumresidential,square
639,6609,square,square
634,6610,square,square
3557,6611,school,square
3320,6612,denseresidential,square
704,6613,square,square
5371,6614,viaduct,square
2282,6615,baseballfield,square
5757,6616,railwaystation,square
1024,6617,resort,square
2637,6618,center,square
3904,6619,stadium,square
140,6620,storagetanks,square
367,6621,commercial,square
753,6622,square,square
5446,6623,airport,square
2797,6624,center,square
751,6625,square,square
646,6626,square,square
739,6627,square,square
702,6628,square,square
704,6629,square,square
696,6630,square,square
2336,6631,baseballfield,square
1603,6632,farmland,square
4920,6633,park,square
3351,6634,denseresidential,square
4926,6635,park,square
677,6636,square,square
995,6637,bareland,square
288,6638,commercial,square
655,6639,square,square
704,6640,square,square
219,6641,commercial,square
4864,6642,park,square
5292,6643,viaduct,square
5793,6644,railwaystation,square
3241,6645,denseresidential,square
2663,6646,center,square
798,6647,square,square
5072,6648,industrial,square
5382,6649,viaduct,square
698,6650,square,square
4710,6651,mediumresidential,square
735,6652,square,square
5170,6653,industrial,square
716,6654,square,square
749,6655,square,square
721,6656,square,square
621,6657,square,square
3404,6658,school,square
778,6659,square,square
734,6660,square,square
944,6661,bareland,bareland
2589,6662,desert,bareland
843,6663,bareland,bareland
903,6664,bareland,bareland
927,6665,bareland,bareland
1492,6666,mountain,bareland
990,6667,bareland,bareland
902,6668,bareland,bareland
2475,6669,desert,bareland
1587,6670,mountain,bareland
854,6671,bareland,bareland
843,6672,bareland,bareland
933,6673,bareland,bareland
933,6674,bareland,bareland
914,6675,bareland,bareland
885,6676,bareland,bareland
927,6677,bareland,bareland
937,6678,bareland,bareland
912,6679,bareland,bareland
823,6680,bareland,bareland
957,6681,bareland,bareland
827,6682,bareland,bareland
912,6683,bareland,bareland
895,6684,bareland,bareland
914,6685,bareland,bareland
1492,6686,mountain,bareland
914,6687,bareland,bareland
951,6688,bareland,bareland
7,6689,storagetanks,bareland
123,6690,storagetanks,bareland
895,6691,bareland,bareland
888,6692,bareland,bareland
812,6693,bareland,bareland
855,6694,bareland,bareland
996,6695,bareland,bareland
998,6696,bareland,bareland
887,6697,bareland,bareland
879,6698,bareland,bareland
968,6699,bareland,bareland
2422,6700,desert,bareland
973,6701,bareland,bareland
998,6702,bareland,bareland
839,6703,bareland,bareland
925,6704,bareland,bareland
982,6705,bareland,bareland
850,6706,bareland,bareland
896,6707,bareland,bareland
939,6708,bareland,bareland
933,6709,bareland,bareland
866,6710,bareland,bareland
922,6711,bareland,bareland
967,6712,bareland,bareland
969,6713,bareland,bareland
882,6714,bareland,bareland
962,6715,bareland,bareland
986,6716,bareland,bareland
925,6717,bareland,bareland
836,6718,bareland,bareland
850,6719,bareland,bareland
986,6720,bareland,bareland
864,6721,bareland,bareland
899,6722,bareland,bareland
1796,6723,farmland,bareland
876,6724,bareland,bareland
843,6725,bareland,bareland
932,6726,bareland,bareland
5535,6727,airport,bareland
946,6728,bareland,bareland
852,6729,bareland,bareland
954,6730,bareland,bareland
845,6731,bareland,bareland
972,6732,bareland,bareland
850,6733,bareland,bareland
955,6734,bareland,bareland
923,6735,bareland,bareland
860,6736,bareland,bareland
4038,6737,parking,bareland
821,6738,bareland,bareland
981,6739,bareland,bareland
917,6740,bareland,bareland
886,6741,bareland,bareland
2572,6742,desert,bareland
866,6743,bareland,bareland
898,6744,bareland,bareland
933,6745,bareland,bareland
996,6746,bareland,bareland
991,6747,bareland,bareland
986,6748,bareland,bareland
882,6749,bareland,bareland
877,6750,bareland,bareland
914,6751,bareland,bareland
5620,6752,railwaystation,bareland
950,6753,bareland,bareland
903,6754,bareland,bareland
2415,6755,desert,bareland
890,6756,bareland,bareland
947,6757,bareland,bareland
843,6758,bareland,bareland
4154,6759,parking,bareland
825,6760,bareland,bareland
905,6761,bareland,bareland
982,6762,bareland,bareland
4051,6763,parking,bareland
999,6764,bareland,bareland
944,6765,bareland,bareland
4037,6766,parking,bareland
920,6767,bareland,bareland
944,6768,bareland,bareland
929,6769,bareland,bareland
912,6770,bareland,bareland
1158,6771,resort,resort
1117,6772,resort,resort
1086,6773,resort,resort
5609,6774,railwaystation,resort
1090,6775,resort,resort
1008,6776,resort,resort
1030,6777,resort,resort
1171,6778,resort,resort
1130,6779,resort,resort
1138,6780,resort,resort
4968,6781,park,resort
4907,6782,park,resort
1175,6783,resort,resort
1184,6784,resort,resort
1033,6785,resort,resort
1071,6786,resort,resort
1008,6787,resort,resort
4858,6788,park,resort
1135,6789,resort,resort
919,6790,bareland,resort
3278,6791,denseresidential,resort
1034,6792,resort,resort
5831,6793,church,resort
1101,6794,resort,resort
1090,6795,resort,resort
1097,6796,resort,resort
266,6797,commercial,resort
1198,6798,resort,resort
1165,6799,resort,resort
1190,6800,resort,resort
4981,6801,park,resort
1123,6802,resort,resort
5713,6803,railwaystation,resort
1115,6804,resort,resort
1055,6805,resort,resort
1092,6806,resort,resort
1118,6807,resort,resort
1099,6808,resort,resort
1148,6809,resort,resort
1149,6810,resort,resort
3262,6811,denseresidential,resort
1199,6812,resort,resort
1042,6813,resort,resort
1169,6814,resort,resort
1004,6815,resort,resort
1121,6816,resort,resort
1139,6817,resort,resort
1087,6818,resort,resort
1192,6819,resort,resort
1080,6820,resort,resort
1052,6821,resort,resort
1145,6822,resort,resort
1141,6823,resort,resort
1153,6824,resort,resort
1157,6825,resort,resort
1162,6826,resort,resort
5760,6827,railwaystation,resort
1812,6828,bridge,resort
1023,6829,resort,resort
5708,6830,railwaystation,resort
1060,6831,resort,resort
1074,6832,resort,resort
1127,6833,resort,resort
1098,6834,resort,resort
1005,6835,resort,resort
1081,6836,resort,resort
1023,6837,resort,resort
1176,6838,resort,resort
1095,6839,resort,resort
1121,6840,resort,resort
1054,6841,resort,resort
1149,6842,resort,resort
1106,6843,resort,resort
1200,6844,resort,resort
4775,6845,mediumresidential,resort
1051,6846,resort,resort
1059,6847,resort,resort
1171,6848,resort,resort
1080,6849,resort,resort
1174,6850,resort,resort
1115,6851,resort,resort
4807,6852,park,resort
3476,6853,school,resort
4354,6854,forest,resort
1132,6855,resort,resort
1080,6856,resort,resort
1192,6857,resort,resort
5641,6858,railwaystation,resort
1076,6859,resort,resort
1105,6860,resort,resort
1235,6861,sparseresidential,sparseresidential
1256,6862,sparseresidential,sparseresidential
1255,6863,sparseresidential,sparseresidential
1229,6864,sparseresidential,sparseresidential
1300,6865,sparseresidential,sparseresidential
1315,6866,sparseresidential,sparseresidential
1391,6867,sparseresidential,sparseresidential
1353,6868,sparseresidential,sparseresidential
1395,6869,sparseresidential,sparseresidential
1361,6870,sparseresidential,sparseresidential
1352,6871,sparseresidential,sparseresidential
1281,6872,sparseresidential,sparseresidential
1299,6873,sparseresidential,sparseresidential
1239,6874,sparseresidential,sparseresidential
1201,6875,sparseresidential,sparseresidential
1276,6876,sparseresidential,sparseresidential
1278,6877,sparseresidential,sparseresidential
1220,6878,sparseresidential,sparseresidential
1357,6879,sparseresidential,sparseresidential
1239,6880,sparseresidential,sparseresidential
1218,6881,sparseresidential,sparseresidential
1248,6882,sparseresidential,sparseresidential
1250,6883,sparseresidential,sparseresidential
1281,6884,sparseresidential,sparseresidential
1397,6885,sparseresidential,sparseresidential
1295,6886,sparseresidential,sparseresidential
1304,6887,sparseresidential,sparseresidential
1355,6888,sparseresidential,sparseresidential
1262,6889,sparseresidential,sparseresidential
1274,6890,sparseresidential,sparseresidential
1365,6891,sparseresidential,sparseresidential
1372,6892,sparseresidential,sparseresidential
1400,6893,sparseresidential,sparseresidential
1355,6894,sparseresidential,sparseresidential
1343,6895,sparseresidential,sparseresidential
1269,6896,sparseresidential,sparseresidential
1282,6897,sparseresidential,sparseresidential
1227,6898,sparseresidential,sparseresidential
1394,6899,sparseresidential,sparseresidential
1239,6900,sparseresidential,sparseresidential
4611,6901,mediumresidential,sparseresidential
1211,6902,sparseresidential,sparseresidential
1292,6903,sparseresidential,sparseresidential
1334,6904,sparseresidential,sparseresidential
1346,6905,sparseresidential,sparseresidential
1247,6906,sparseresidential,sparseresidential
1302,6907,sparseresidential,sparseresidential
1346,6908,sparseresidential,sparseresidential
1267,6909,sparseresidential,sparseresidential
1248,6910,sparseresidential,sparseresidential
1302,6911,sparseresidential,sparseresidential
1205,6912,sparseresidential,sparseresidential
1209,6913,sparseresidential,sparseresidential
1278,6914,sparseresidential,sparseresidential
4607,6915,mediumresidential,sparseresidential
1225,6916,sparseresidential,sparseresidential
1272,6917,sparseresidential,sparseresidential
1378,6918,sparseresidential,sparseresidential
1272,6919,sparseresidential,sparseresidential
1343,6920,sparseresidential,sparseresidential
1392,6921,sparseresidential,sparseresidential
1400,6922,sparseresidential,sparseresidential
1359,6923,sparseresidential,sparseresidential
1231,6924,sparseresidential,sparseresidential
1317,6925,sparseresidential,sparseresidential
1227,6926,sparseresidential,sparseresidential
1338,6927,sparseresidential,sparseresidential
1324,6928,sparseresidential,sparseresidential
1351,6929,sparseresidential,sparseresidential
1236,6930,sparseresidential,sparseresidential
1349,6931,sparseresidential,sparseresidential
1294,6932,sparseresidential,sparseresidential
4799,6933,mediumresidential,sparseresidential
1213,6934,sparseresidential,sparseresidential
1330,6935,sparseresidential,sparseresidential
1237,6936,sparseresidential,sparseresidential
1312,6937,sparseresidential,sparseresidential
1312,6938,sparseresidential,sparseresidential
1325,6939,sparseresidential,sparseresidential
1266,6940,sparseresidential,sparseresidential
1259,6941,sparseresidential,sparseresidential
1379,6942,sparseresidential,sparseresidential
4257,6943,forest,sparseresidential
1279,6944,sparseresidential,sparseresidential
1363,6945,sparseresidential,sparseresidential
1363,6946,sparseresidential,sparseresidential
4701,6947,mediumresidential,sparseresidential
1323,6948,sparseresidential,sparseresidential
1253,6949,sparseresidential,sparseresidential
1258,6950,sparseresidential,sparseresidential
1231,6951,sparseresidential,sparseresidential
1318,6952,sparseresidential,sparseresidential
1400,6953,sparseresidential,sparseresidential
1363,6954,sparseresidential,sparseresidential
1359,6955,sparseresidential,sparseresidential
1222,6956,sparseresidential,sparseresidential
1371,6957,sparseresidential,sparseresidential
1355,6958,sparseresidential,sparseresidential
4723,6959,mediumresidential,sparseresidential
1259,6960,sparseresidential,sparseresidential
1587,6961,mountain,mountain
1442,6962,mountain,mountain
1443,6963,mountain,mountain
1600,6964,mountain,mountain
1509,6965,mountain,mountain
1588,6966,mountain,mountain
1567,6967,mountain,mountain
1539,6968,mountain,mountain
1518,6969,mountain,mountain
1443,6970,mountain,mountain
1524,6971,mountain,mountain
1561,6972,mountain,mountain
1591,6973,mountain,mountain
1422,6974,mountain,mountain
1447,6975,mountain,mountain
1549,6976,mountain,mountain
1548,6977,mountain,mountain
1306,6978,sparseresidential,mountain
2031,6979,meadow,mountain
1508,6980,mountain,mountain
1592,6981,mountain,mountain
1444,6982,mountain,mountain
1596,6983,mountain,mountain
1438,6984,mountain,mountain
1488,6985,mountain,mountain
1458,6986,mountain,mountain
1483,6987,mountain,mountain
1587,6988,mountain,mountain
1495,6989,mountain,mountain
1518,6990,mountain,mountain
3252,6991,denseresidential,mountain
1437,6992,mountain,mountain
4511,6993,river,mountain
1441,6994,mountain,mountain
4312,6995,forest,mountain
1524,6996,mountain,mountain
1401,6997,mountain,mountain
596,6998,pond,mountain
1595,6999,mountain,mountain
2646,7000,center,mountain
1567,7001,mountain,mountain
1435,7002,mountain,mountain
1401,7003,mountain,mountain
4518,7004,river,mountain
